problem_id,nobishiro
1,214133796590
2,172089807300
3,9483762200
4,4526880950
5,7590976780
6,7154897500
7,4888383220
8,65693115290
9,3386287630
10,1635985080
11,12826428310
12,31929463770
13,1995765530
14,81305250
15,4538434170
16,1026526280
17,202825690
18,1447962040
19,15187880
20,54223090
21,2084290
22,1162962860
23,942268870
24,1598676150
25,7494433700
26,4970404310
27,3429983740
28,3167286440
29,10285322640
30,14657991690
31,10541999950
32,5922495930
33,1741746130
34,2239254910
35,2392197250
36,1818974370
37,4939724060
38,634395630
39,769597550
40,1482613050
41,585209310
42,128419800
43,32335970
44,1530181950
45,644726060
46,53064270
47,31882270
48,240389740
49,83986370
50,219962090
51,61270860
52,160976010
53,595968690
54,101425490
55,17753660
56,3021968677
57,4045379240
58,5053231525
59,1372371573
60,135867522
61,6420556858
62,4768050441
63,14865603339
64,13260409267
65,2498096405
66,4579598417
67,16617688845
68,18876319003
69,17713757408
70,2597337058
71,14103155125
72,14474841393
73,2089474616
74,3863403856
75,409297376
76,3174639804
77,2395295805
78,4447146111
79,2965456544
80,3652414106
81,1225863350
82,724367828
83,1681134077
84,3916085786
85,1828409046
86,3440258403
87,1740043348
88,7363917064
89,2257015629
90,10392255269
